captured_at,league,tournament,start_date,fixture_id,game_id,home_player,away_player,provider_player_name,provider_player_id,normalized_selection,book,market,market_id,line,is_main,over_price,under_price,over_implied_prob,under_implied_prob,overround,over_novig_prob,under_novig_prob,has_both_sides,over_odds_id,under_odds_id,grouping_key,odds_timestamp,odds_timestamp_utc
2026-09-18T03:02:42Z,wta,"Sao Paulo, Brazil",2026-09-18T20:30:00Z,20260918EB291E99,34794-32790-2026-37,Mary Stoiana,Paula Badosa,Paula Badosa,3CAA85511C75,paula_badosa,DraftKings,Player Sets Won,player_sets_won,0.5,True,-575,350,0.851852,0.222222,1.074074,0.793103,0.206897,True,34794-32790-2026-37:draftkings:player_sets_won:paula_badosa_over_0_5,34794-32790-2026-37:draftkings:player_sets_won:paula_badosa_under_0_5,paula_badosa:0.5,1789691554.260333,2026-09-18T00:32:34Z
2026-09-19T03:03:08Z,wta,"Singapore, Singapore",2026-09-19T06:30:00Z,2026091913A9403B,14892-26997-2026-37,Eva Marie Desvignes,Kyoka Okamura,Eva Marie Desvignes,BEA0169819EB6325,eva_marie_desvignes,DraftKings,Player Games Won,player_games_won,8.5,True,-125,-120,0.555556,0.545455,1.101010,0.504587,0.495413,True,14892-26997-2026-37:draftkings:player_games_won:eva_marie_desvignes_over_8_5,14892-26997-2026-37:draftkings:player_games_won:eva_marie_desvignes_under_8_5,eva_marie_desvignes:8.5,1789753092.4372654,2026-09-18T17:38:12Z
2026-09-19T03:03:08Z,wta,"Singapore, Singapore",2026-09-19T06:30:00Z,2026091913A9403B,14892-26997-2026-37,Eva Marie Desvignes,Kyoka Okamura,Kyoka Okamura,2160A875097E8400,kyoka_okamura,DraftKings,Player Games Won,player_games_won,12.5,True,120,-175,0.454545,0.636364,1.090909,0.416667,0.583333,True,14892-26997-2026-37:draftkings:player_games_won:kyoka_okamura_over_12_5,14892-26997-2026-37:draftkings:player_games_won:kyoka_okamura_under_12_5,kyoka_okamura:12.5,1789780204.8245785,2026-09-19T01:10:04Z
2026-09-19T03:03:08Z,wta,"Singapore, Singapore",2026-09-19T06:30:00Z,2026091913A9403B,14892-26997-2026-37,Eva Marie Desvignes,Kyoka Okamura,Eva Marie Desvignes,BEA0169819EB6325,eva_marie_desvignes,DraftKings,Player Sets Won,player_sets_won,0.5,True,-105,-135,0.512195,0.574468,1.086663,0.471347,0.528653,True,14892-26997-2026-37:draftkings:player_sets_won:eva_marie_desvignes_over_0_5,14892-26997-2026-37:draftkings:player_sets_won:eva_marie_desvignes_under_0_5,eva_marie_desvignes:0.5,1789753092.4372654,2026-09-18T17:38:12Z
2026-09-19T03:03:08Z,wta,"Singapore, Singapore",2026-09-19T06:30:00Z,2026091913A9403B,14892-26997-2026-37,Eva Marie Desvignes,Kyoka Okamura,Kyoka Okamura,2160A875097E8400,kyoka_okamura,DraftKings,Player Sets Won,player_sets_won,0.5,True,-800,500,0.888889,0.166667,1.055556,0.842105,0.157895,True,14892-26997-2026-37:draftkings:player_sets_won:kyoka_okamura_over_0_5,14892-26997-2026-37:draftkings:player_sets_won:kyoka_okamura_under_0_5,kyoka_okamura:0.5,1789780204.8245785,2026-09-19T01:10:04Z
2026-09-19T03:03:08Z,wta,"Singapore, Singapore",2026-09-19T03:00:00Z,202609191E62F7CC,42944-39358-2026-37,Anna-Lena Friedsam,Desirae Krawczyk,Anna-Lena Friedsam,672EDFC6B11C,anna-lena_friedsam,DraftKings,Player Sets Won,player_sets_won,0.5,True,-10000,2200,0.990099,0.043478,1.033577,0.957934,0.042066,True,42944-39358-2026-37:draftkings:player_sets_won:anna-lena_friedsam_over_0_5,42944-39358-2026-37:draftkings:player_sets_won:anna-lena_friedsam_under_0_5,anna-lena_friedsam:0.5,1789786404.7794316,2026-09-19T02:53:24Z
2026-09-19T03:03:08Z,wta,"Singapore, Singapore",2026-09-19T03:00:00Z,202609191E62F7CC,42944-39358-2026-37,Anna-Lena Friedsam,Desirae Krawczyk,Desirae Krawczyk,436C5436CFE513DC,desirae_krawczyk,DraftKings,Player Sets Won,player_sets_won,0.5,True,275,-425,0.266667,0.809524,1.076190,0.247788,0.752212,True,42944-39358-2026-37:draftkings:player_sets_won:desirae_krawczyk_over_0_5,42944-39358-2026-37:draftkings:player_sets_won:desirae_krawczyk_under_0_5,desirae_krawczyk:0.5,1789786734.4283726,2026-09-19T02:58:54Z
2026-09-19T03:03:08Z,wta,"Seoul, Korea Republic",2026-09-19T05:35:00Z,202609193E452311,80342-34644-2026-37,En-Shuo Liang,Sara Saito,En-Shuo Liang,87E210B1712A,en-shuo_liang,DraftKings,Player Games Won,player_games_won,12.5,True,110,-165,0.476190,0.622642,1.098832,0.433361,0.566639,True,80342-34644-2026-37:draftkings:player_games_won:en-shuo_liang_over_12_5,80342-34644-2026-37:draftkings:player_games_won:en-shuo_liang_under_12_5,en-shuo_liang:12.5,1789777415.4155152,2026-09-19T00:23:35Z
2026-09-19T03:03:08Z,wta,"Seoul, Korea Republic",2026-09-19T05:35:00Z,202609193E452311,80342-34644-2026-37,En-Shuo Liang,Sara Saito,Sara Saito,D50973562939,sara_saito,DraftKings,Player Games Won,player_games_won,10.5,True,-115,-125,0.534884,0.555556,1.090439,0.490521,0.509479,True,80342-34644-2026-37:draftkings:player_games_won:sara_saito_over_10_5,80342-34644-2026-37:draftkings:player_games_won:sara_saito_under_10_5,sara_saito:10.5,1789777415.4155095,2026-09-19T00:23:35Z
2026-09-19T03:03:08Z,wta,"Seoul, Korea Republic",2026-09-19T05:35:00Z,202609193E452311,80342-34644-2026-37,En-Shuo Liang,Sara Saito,En-Shuo Liang,87E210B1712A,en-shuo_liang,DraftKings,Player Sets Won,player_sets_won,0.5,True,-600,380,0.857143,0.208333,1.065476,0.804469,0.195531,True,80342-34644-2026-37:draftkings:player_sets_won:en-shuo_liang_over_0_5,80342-34644-2026-37:draftkings:player_sets_won:en-shuo_liang_under_0_5,en-shuo_liang:0.5,1789777415.4155152,2026-09-19T00:23:35Z
