captured_at,fixture_id,game_id,league,tournament,start_date,status,home_player,away_player,sportsbook,market_id,market,player_id,selection,normalized_selection,selection_line,points,price,is_main,grouping_key,odds_id,odds_timestamp,odds_timestamp_utc
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_games_won,Player Games Won,E9CDAF26AAF5D1D3,Teodora Kostovic,teodora_kostovic,over,12.5,110,True,teodora_kostovic:12.5,33889-27513-2026-37:draftkings:player_games_won:teodora_kostovic_over_12_5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_games_won,Player Games Won,E9CDAF26AAF5D1D3,Teodora Kostovic,teodora_kostovic,under,12.5,-165,True,teodora_kostovic:12.5,33889-27513-2026-37:draftkings:player_games_won:teodora_kostovic_under_12_5,1789677564.4160278,2026-09-17T20:39:24Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_sets_won,Player Sets Won,635381F93957A087,Kaitlin Quevedo,kaitlin_quevedo,over,0.5,-380,True,kaitlin_quevedo:0.5,33889-27513-2026-37:draftkings:player_sets_won:kaitlin_quevedo_over_0_5,1789675674.2838085,2026-09-17T20:07:54Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_sets_won,Player Sets Won,635381F93957A087,Kaitlin Quevedo,kaitlin_quevedo,under,0.5,260,True,kaitlin_quevedo:0.5,33889-27513-2026-37:draftkings:player_sets_won:kaitlin_quevedo_under_0_5,1789675674.2838085,2026-09-17T20:07:54Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_sets_won,Player Sets Won,E9CDAF26AAF5D1D3,Teodora Kostovic,teodora_kostovic,over,0.5,-250,True,teodora_kostovic:0.5,33889-27513-2026-37:draftkings:player_sets_won:teodora_kostovic_over_0_5,1789675674.2838085,2026-09-17T20:07:54Z
2026-09-18T03:02:42Z,202609186FF93BE5,33889-27513-2026-37,wta,"Sao Paulo, Brazil",2026-09-18T16:00:00Z,unplayed,Teodora Kostovic,Kaitlin Quevedo,DraftKings,player_sets_won,Player Sets Won,E9CDAF26AAF5D1D3,Teodora Kostovic,teodora_kostovic,under,0.5,175,True,teodora_kostovic:0.5,33889-27513-2026-37:draftkings:player_sets_won:teodora_kostovic_under_0_5,1789675674.2838085,2026-09-17T20:07:54Z
2026-09-18T03:02:42Z,202609189EABB4A1,16898-28676-2026-37,wta,"Guadalajara, Mexico",2026-09-18T23:00:00Z,unplayed,Cristina Bucsa,Iva Jović,DraftKings,player_sets_won,Player Sets Won,B50E281C0FDD,Cristina Bucsa,cristina_bucsa,over,0.5,-110,True,cristina_bucsa:0.5,16898-28676-2026-37:draftkings:player_sets_won:cristina_bucsa_over_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609189EABB4A1,16898-28676-2026-37,wta,"Guadalajara, Mexico",2026-09-18T23:00:00Z,unplayed,Cristina Bucsa,Iva Jović,DraftKings,player_sets_won,Player Sets Won,B50E281C0FDD,Cristina Bucsa,cristina_bucsa,under,0.5,-125,True,cristina_bucsa:0.5,16898-28676-2026-37:draftkings:player_sets_won:cristina_bucsa_under_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609189EABB4A1,16898-28676-2026-37,wta,"Guadalajara, Mexico",2026-09-18T23:00:00Z,unplayed,Cristina Bucsa,Iva Jović,DraftKings,player_sets_won,Player Sets Won,BB6088423E01,Iva Jović,iva_jovi_,over,0.5,-1100,True,iva_jovi_:0.5,16898-28676-2026-37:draftkings:player_sets_won:iva_jovi_over_0_5,1789694874.5046196,2026-09-18T01:27:54Z
2026-09-18T03:02:42Z,202609189EABB4A1,16898-28676-2026-37,wta,"Guadalajara, Mexico",2026-09-18T23:00:00Z,unplayed,Cristina Bucsa,Iva Jović,DraftKings,player_sets_won,Player Sets Won,BB6088423E01,Iva Jović,iva_jovi_,under,0.5,550,True,iva_jovi_:0.5,16898-28676-2026-37:draftkings:player_sets_won:iva_jovi_under_0_5,1789694874.5046196,2026-09-18T01:27:54Z
