cutoff_date,fold_number,metric,metric_value,modelversion,row_count,run_timestamp,sport,stat_target,test_end_date
2015-05-01,5,rmse,7.759924156768174,baseline_v1_aces,580,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,mean_bias,2.560980868689375,baseline_v1_aces,580,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,interval_coverage,0.44310344827586207,baseline_v1_aces,580,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,interval_crossing_count,0.0,baseline_v1_aces,580,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,interval_repair_count,0.0,baseline_v1_aces,580,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,mae_improvement_over_baseline,0.0,baseline_v1_aces,580,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,prediction_bin_01_coverage,0.6379310344827587,baseline_v1_aces,58,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,prediction_bin_02_coverage,0.5689655172413793,baseline_v1_aces,58,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,prediction_bin_03_coverage,0.6379310344827587,baseline_v1_aces,58,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,prediction_bin_04_coverage,0.6206896551724138,baseline_v1_aces,58,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,prediction_bin_05_coverage,0.7068965517241379,baseline_v1_aces,58,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,prediction_bin_06_coverage,0.6896551724137931,baseline_v1_aces,58,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
2015-05-01,5,prediction_bin_07_coverage,0.3793103448275862,baseline_v1_aces,58,2026-09-25 14:59:15.344040+00:00,tennis,aces,2015-06-01
